from,to,condition,sheet
纽奇兽,种子兽,等级≥ 2,幼年期I进化路线
普通数码蛋,比兹兽,创始村数码蛋概率获得,幼年期I进化路线
比兹兽,布加兽,等级≥ 2,幼年期I进化路线
普通数码蛋,普瓦兽,创始村数码蛋概率获得,幼年期I进化路线
普瓦兽,皮那兽,等级≥ 2,幼年期I进化路线
普通数码蛋,浮球兽,创始村数码蛋概率获得,幼年期I进化路线
浮球兽,种子兽,等级≥ 2,幼年期I进化路线
普通数码蛋,小天使兽,创始村数码蛋概率获得,幼年期I进化路线
小天使兽,丘比兽,等级≥ 2,幼年期I进化路线
小拨片兽数码蛋,小拨片兽,地下城孵化器概率获得,幼年期I进化路线
小拨片兽,拨片兽,等级≥ 2,幼年期I进化路线
溜溜兽数码蛋,溜溜兽,地下城孵化器概率获得,幼年期I进化路线
溜溜兽,墩墩兽,等级≥ 2,幼年期I进化路线
机械数码蛋,炸弹兽,创始村数码蛋概率获得,幼年期I进化路线
炸弹兽,导弹兽,等级≥ 2,幼年期I进化路线
普斯兽数码蛋,普斯兽,地下城孵化器概率获得,幼年期I进化路线
普斯兽,普斯利兽,等级≥ 2,幼年期I进化路线
强化巨龙数码蛋,滚球兽,地下城孵化器概率获得,幼年期II进化路线
滚球兽,亚古兽,等级≥ 4,幼年期II进化路线
强化野兽数码蛋,犄角兽,地下城孵化器概率获得,幼年期II进化路线
犄角兽,加布兽,等级≥ 4,幼年期II进化路线
强化神圣数码蛋,迪哥兽,地下城孵化器概率获得,幼年期II进化路线
迪哥兽,巴达兽,等级≥ 5,幼年期II进化路线
强化黑暗数码蛋,帕古兽,地下城孵化器概率获得,幼年期II进化路线
帕古兽,加支兽,等级≥ 4,幼年期II进化路线
强化野兽数码蛋,汪喵兽,地下城孵化器概率获得,幼年期II进化路线
汪喵兽,加奥兽,等级≥ 4,幼年期II进化路线
强化鸟类数码蛋,皮那兽,地下城孵化器概率获得,幼年期II进化路线
皮那兽,猎鹰兽,等级≥ 4,幼年期II进化路线
强化野兽数码蛋,喵喵兽,地下城孵化器概率获得,幼年期II进化路线
喵喵兽,小狗兽,等级≥ 5,幼年期II进化路线
强化海兽数码蛋,布加兽,地下城孵化器概率获得,幼年期II进化路线
布加兽,哥玛兽,等级≥ 4,幼年期II进化路线
强化机械数码蛋,小火焰兽,地下城孵化器概率获得,幼年期II进化路线
小火焰兽,蜡烛兽,等级≥ 4,幼年期II进化路线
强化巨龙数码蛋,幼龙兽,地下城孵化器概率获得,幼年期II进化路线
幼龙兽,龙仔兽,等级≥ 4,幼年期II进化路线
强化巨龙数码蛋,豆丁兽,地下城孵化器概率获得,幼年期II进化路线
豆丁兽,V仔兽,等级≥ 4,幼年期II进化路线
强化昆虫数码蛋,蓑虫兽,地下城孵化器概率获得,幼年期II进化路线
蓑虫兽,虫虫兽,等级≥ 4,幼年期II进化路线
强化鸟类数码蛋,珀罗兽,地下城孵化器概率获得,幼年期II进化路线
珀罗兽,麻鹰兽,等级≥ 4,幼年期II进化路线
强化海兽数码蛋,乌帕兽,地下城孵化器概率获得,幼年期II进化路线
乌帕兽,犰狳兽,等级≥ 4,幼年期II进化路线
强化昆虫数码蛋,年糕兽,地下城孵化器概率获得,幼年期II进化路线
年糕兽,甲虫兽,等级≥ 4,幼年期II进化路线
强化植物数码蛋,比高兽,地下城孵化器概率获得,幼年期II进化路线
比高兽,比丘兽,等级≥ 4,幼年期II进化路线
强化植物数码蛋,种子兽,地下城孵化器概率获得,幼年期II进化路线
种子兽,巴鲁兽,等级≥ 4,幼年期II进化路线
强化黑暗数码蛋,钩爪兽,地下城孵化器概率获得,幼年期II进化路线
钩爪兽,哈哈兽,等级≥ 6,幼年期II进化路线
也也兽,小妖兽,等级≥ 4,幼年期II进化路线
强化野兽数码蛋,软糖兽,地下城孵化器概率获得,幼年期II进化路线
软糖兽,大耳兽,等级≥ 4,幼年期II进化路线
巧克力兽,黑大耳兽,等级≥ 4,幼年期II进化路线
强化机械数码蛋,卡普利兽,地下城孵化器概率获得,幼年期II进化路线
卡普利兽,齿轮兽,等级≥ 4,幼年期II进化路线
强化野兽数码蛋,多利兽,地下城孵化器概率获得,幼年期II进化路线
多利兽,多路兽,等级≥ 4,幼年期II进化路线
强化巨龙数码蛋,基基兽,地下城孵化器概率获得,幼年期II进化路线
基基兽,基尔兽,等级≥ 4,幼年期II进化路线
强化野兽数码蛋,波可兽,地下城孵化器概率获得,幼年期II进化路线
波可兽,狐狸兽,等级≥ 4,幼年期II进化路线
丘比兽,巴达兽,等级≥ 4,幼年期II进化路线
寒冷兽,碧龙兽,等级≥ 4,幼年期II进化路线
拨片兽,明星兽（合体战争）,等级≥ 4 友情≥ 4♥,幼年期II进化路线
墩墩兽,伽马兽,等级≥ 4,幼年期II进化路线
叽叽兽数码蛋,叽叽兽,地下城孵化器概率获得,幼年期II进化路线
叽叽兽,雏鸡兽,等级≥ 4,幼年期II进化路线
导弹兽,突击龙兽,等级≥ 4,幼年期II进化路线
普斯利兽,刺猬兽,等级≥ 4,幼年期II进化路线
亚古兽,巨龙兽,等级≥ 16 友情≥ 3♥,成长期进化路线 
滚球兽,亚古兽（黑）,等级≥ 4 黑暗经验≥ 50,成长期进化路线 
亚古兽（黑）,角龙兽,等级≥ 16 友情≥ 2.5♥,成长期进化路线 
滚球兽,雪人亚古兽,等级≥ 5 水生经验≥ 125 近防训练≥ 30,成长期进化路线 
雪人亚古兽,雪人兽,等级≥ 16 友情≥ 3♥,成长期进化路线 
滚球兽,点阵亚古兽,等级≥ 20 完成挑战模式：点阵,成长期进化路线 
汪喵兽,加布兽,等级≥ 6 野兽经验≥ 110 水生经验≥ 20,成长期进化路线 
加布兽,加鲁鲁兽,等级≥ 15 友情≥ 4♥,成长期进化路线 
犄角兽,加布兽（黑）,等级≥ 4 黑暗经验≥ 50,成长期进化路线 
加布兽（黑）,加鲁鲁兽（黑）,等级≥ 15 友情≥ 4♥,成长期进化路线 
帕古兽,迷幻兽,等级≥ 7 野兽经验≥ 175 友情≥ 3.5♥,成长期进化路线 
迷幻兽,獠牙兽,等级≥ 15 黑暗经验≥ 650 友情≤ .5♥,成长期进化路线 
巴达兽,天使兽,等级≥ 18 友情≥ 4.5♥ 神圣经验≥ 1000,成长期进化路线 
帕古兽,使魔兽,等级≥ 5 黑暗经验≥ 200 黑暗经验＞ 神圣经验,成长期进化路线 
使魔兽,恶魔兽,等级≥ 15 友情≤ 2.5♥ 黑暗经验≥ 666,成长期进化路线 
汪喵兽,小狗兽,等级≥ 7 神圣经验≥ 210 野兽经验≥ 50,成长期进化路线 
小狗兽,迪路兽,等级≥ 15 神圣经验≥ 350,成长期进化路线 
珀罗兽,迪路兽（成长期）,等级≥ 4 野兽经验≥ 50 神圣经验≥ 40 拥有过迪路兽,成长期进化路线 
迪路兽（成长期）,迪路兽,等级≥ 15 神圣经验≥ 350,成长期进化路线 
迪哥兽,大耳兽,等级≥ 8 野兽经验≥ 50,成长期进化路线 
大耳兽,加鲁哥兽,等级≥ 17 野兽经验≥ 520,成长期进化路线 
帕古兽,黑大耳兽,等级≥ 10 野兽经验≥ 365 友情≥ 4♥,成长期进化路线 
黑大耳兽,兔儿爷兽,等级≥ 16 友情≥ 4♥,成长期进化路线 
迪哥兽,光明兽,等级≥ 18 神圣经验≥ 350 友情≥ 2.5♥ 胜率≥ 50%,成长期进化路线 
光明兽,光明兽：堕落形态,等级≥ 70 黑暗经验≥ 60606 友情≥ 2♥ & 友情≤ 4♥ 5个进化器,成长期进化路线 
加支兽,加鲁鲁兽（黑）,等级≥ 16 野兽经验≥ 710,成长期进化路线 
加奥兽,加奥加兽,等级≥ 16 友情≥ 3♥,成长期进化路线 
帕古兽,小恶魔兽,等级≥ 4 友情≤ 1.5♥,成长期进化路线 
小恶魔兽,恶魔兽,等级≥ 15 友情≤ 2.5♥ 黑暗经验≥ 666,成长期进化路线 
滚球兽,龙仔兽,等级≥ 6 巨龙经验≥ 150,成长期进化路线 
龙仔兽,飞龙兽,等级≥ 16 神圣经验≥ 1200,成长期进化路线 
滚球兽,积木亚古兽,等级≥ 5 机械经验≥ 100 友情≥ 2.5♥,成长期进化路线 
积木亚古兽,明星兽,等级≥ 16,成长期进化路线 
布加兽,透明玩具亚古兽,等级≥ 10 拥有玩具亚古兽 机械经验≥ 200,成长期进化路线 
透明玩具亚古兽,守卫机器人兽（金）,等级≥ 15 机械经验≥ 500 防御训练值≥ 280,成长期进化路线 
钩爪兽,玩具亚古兽（黑）,等级≥ 6 机械经验≥ 160 黑暗经验≥ 50,成长期进化路线 
玩具亚古兽（黑）,甲板龙兽,等级≥ 15 巨龙经验≥ 700 机械经验≥ 1000,成长期进化路线 
帕古兽,哥布林兽,等级≥ 6 野兽经验≥ 130 黑暗经验≥ 50,成长期进化路线 
哥布林兽,奥加兽,等级≥ 17 黑暗经验≥ 495,成长期进化路线 
巧克力兽,萨满兽,等级≥ 6 野兽经验≥ 160 黑暗经验≥ 80,成长期进化路线 
萨满兽,风灾兽,等级≥ 15 黑暗经验≥ 500,成长期进化路线 
汪喵兽,雪哥布林兽,等级≥ 6 水生经验≥ 160 野兽经验≥ 80,成长期进化路线 
雪哥布林兽,冰河兽,等级≥ 15 水生经验≥ 750,成长期进化路线 
帕古兽,小妖兽,等级≥ 4 黑暗经验≥ 350 友情≥ 2♥ 胜率≥ 60%,成长期进化路线 
小妖兽,巫师兽,等级≥ 15 友情≥ 2.5♥ 黑暗经验≥ 220,成长期进化路线 
汪喵兽,多路兽,等级≥ 10 野兽经验≥ 200 黑暗经验≥ 10 胜率≥ 50%,成长期进化路线 
多路兽,多路加兽,等级≥ 16 友情≥ 3♥,成长期进化路线 
汪喵兽,龙蛇兽,等级≥ 15 野兽经验≥ 320 巨龙经验≥ 650,成长期进化路线 
龙蛇兽,银龙兽,等级≥ 15 巨龙经验≥ 550 近防训练≥ 80,成长期进化路线 
汪喵兽,管狐兽（黄）,等级≥ 5 神圣经验≥ 210 黑暗经验≤ 65,成长期进化路线 
管狐兽（黄）,裂破兽,等级≥ 18 友情≥ 2.5♥ 神圣经验≥ 500,成长期进化路线 
乌帕兽,管狐兽,等级≥ 6 神圣经验≥ 90 野兽经验≥ 35,成长期进化路线 
管狐兽,飞龙兽,等级≥ 15 巨龙经验≥ 150 神圣经验≥ 200,成长期进化路线 
小火焰兽,野火兽,等级≥ 12 野兽经验≥ 320 胜率≥ 65%,成长期进化路线 
野火兽,阿耆尼兽,等级≥ 30 完成挑战模式：第一边疆 巨龙经验≥ 2600,成长期进化路线 
汪喵兽,流光兽,等级≥ 12 野兽经验≥ 320 胜率≥ 65%,成长期进化路线 
流光兽,野狼兽,等级≥ 30 完成挑战模式：第一边疆 野兽经验≥ 2600,成长期进化路线 
猎鹰兽,啄木鸟兽,等级≥ 16 友情≥ 3♥,成长期进化路线 
叽叽兽,点阵猎鹰兽,等级≥ 20 完成挑战模式：点阵,成长期进化路线 
皮那兽,电力兽,等级≥ 7 野兽经验≥ 120,成长期进化路线 
电力兽,狮子兽,等级≥ 15 胜率≥ 50%,成长期进化路线 
皮那兽,比丘兽,等级≥ 4 鸟类经验≥ 45,成长期进化路线 
比丘兽,蛇鸡兽,等级≥ 16 友情≥ 3♥,成长期进化路线 
皮那兽,泳鱼兽,等级≥ 8 水生经验≥ 125 近攻训练≤ 15,成长期进化路线 
泳鱼兽,海龙兽,等级≥ 16 友情≥ 3♥,成长期进化路线 
皮那兽,顽石兽,等级≥ 7 机械经验≥ 135 近防训练≥ 30,成长期进化路线 
顽石兽,冰石兽,等级≥ 16 友情≥ 3♥,成长期进化路线 
犄角兽,单角龙兽,等级≥ 10 巨龙经验≥ 180 胜率≥ 65%,成长期进化路线 
单角龙兽,强袭龙兽,等级≥ 15 巨龙经验≥ 210,成长期进化路线 
犄角兽,企鹅兽,等级≥ 10 鸟类经验≥ 50 水生经验≥ 30,成长期进化路线 
企鹅兽,雪人兽,等级≥ 15 友情≥ 3♥,成长期进化路线 
比高兽,五彩兽,等级≥ 4 鸟类经验≥ 10 水生经验≥ 5,成长期进化路线 
五彩兽,冠恐鸟兽,等级≥ 15 鸟类经验≥ 525 近攻训练≥ 60,成长期进化路线 
喵喵兽,狐狸兽,等级≥ 8 野兽经验≥ 55,成长期进化路线 
狐狸兽,九尾兽,等级≥ 15 胜率≥ 65%,成长期进化路线 
滚球兽,V仔兽,等级≥ 10 巨龙经验≥ 200 胜率≥ 65%,成长期进化路线 
V仔兽,V龙兽,等级≥ 20 友情≥ 4.5♥ 胜率≥ 90%,成长期进化路线 
比高兽,虫虫兽,等级≥ 13 昆虫经验≥ 260 胜率≥ 75%,成长期进化路线 
虫虫兽,刺钉兽,等级≥ 15 胜率≥ 80%,成长期进化路线 
迪哥兽,犰狳兽,等级≥ 13 野兽经验≥ 260 胜率≥ 75%,成长期进化路线 
犰狳兽,战甲兽,等级≥ 15 机械经验≥ 400,成长期进化路线 
迪哥兽,麻鹰兽,等级≥ 13 鸟类经验≥ 260 胜率≥ 75%,成长期进化路线 
麻鹰兽,天鹰兽,等级≥ 15 友情≥ 3♥,成长期进化路线 
哥玛兽,海狮兽,等级≥ 15 水生经验≥ 450,成长期进化路线 
滚球兽,贝塔兽,等级≥ 4,成长期进化路线 
贝塔兽,海龙兽,等级≥ 15 水生经验≥ 320,成长期进化路线 
布加兽,砗磲兽,等级≥ 6 水生经验≥ 30,成长期进化路线 
砗磲兽,墨鱼兽,等级≥ 15 水生经验≥ 350,成长期进化路线 
布加兽,蝌蚪兽,等级≥ 7 水生经验≥ 10,成长期进化路线 
蝌蚪兽,怪蛙兽,等级≥ 15 友情≥ 4♥,成长期进化路线 
滚球兽,基尔兽,等级≥ 6 巨龙经验≥ 115,成长期进化路线 
基尔兽,古拉兽,等级≥ 15 巨龙经验≥ 350,成长期进化路线 
基尔兽,黑基尔兽,携带黑数码核心数据,成长期进化路线 
黑基尔兽,黑古拉兽,等级≥ 15 巨龙经验≥ 350 黑暗经验≥ 120,成长期进化路线 
年糕兽,齿轮兽,等级≥ 4 机械经验≥ 20,成长期进化路线 
齿轮兽,守卫机器人兽,等级≥ 15 机械经验≥ 160,成长期进化路线 
甲虫兽,比多兽,等级≥ 15 胜率≥ 75%,成长期进化路线 
迪哥兽,古尼兽,等级≥ 4 昆虫经验≥ 15,成长期进化路线 
古尼兽,黄蜂兽,等级≥ 15 昆虫经验≥ 120,成长期进化路线 
比高兽,巴鲁兽,等级≥ 4 植物经验≥ 25,成长期进化路线 
巴鲁兽,仙人掌兽,等级≥ 15 植物经验≥ 595,成长期进化路线 
哈哈兽,虫蛹兽,等级≥ 18 黑暗经验≥ 1520,成长期进化路线 
年糕兽,幻蜂兽,等级≥ 10 昆虫经验≥ 80 友情≥ 2.5♥,成长期进化路线 
幻蜂兽,胡蜂兽,等级≥ 15 机械经验≥ 650 胜率≥ 40%,成长期进化路线 
布加兽,螃蟹兽,等级≥ 5 近防训练＞ 远防训练 水生经验≥ 12,成长期进化路线 
螃蟹兽,虾龙兽,等级≥ 15 水生经验≥ 400 机械经验≥ 125,成长期进化路线 
比高兽,佛洛拉兽,等级≥ 5 植物经验≥ 15 友情≥ 3♥,成长期进化路线 
佛洛拉兽,野菜兽,等级≥ 15 植物经验≥ 150,成长期进化路线 
年糕兽,拉拉兽,等级≥ 8 植物经验≥ 52,成长期进化路线 
拉拉兽,向日葵兽,等级≥ 15 植物经验≥ 595 友情≥ 2.5♥,成长期进化路线 
滚球兽,哈克兽,等级≥ 6 巨龙经验≥ 50 神圣经验≥ 15,成长期进化路线 
哈克兽,刃王哈克兽,等级≥ 15 神圣经验≥ 725 胜率≥ 80%,成长期进化路线 
珀罗兽,水果兽,等级≥ 6 植物经验≥ 60,成长期进化路线 
水果兽,枯木兽,等级≥ 15 植物经验≥ 310,成长期进化路线 
钩爪兽,德拉库兽,等级≥ 4 黑暗经验≥ 65 友情≥ 1♥ & 友情≤ 3♥,成长期进化路线 
德拉库兽,杜宾犬兽,等级≥ 15 野兽经验≥ 495,成长期进化路线 
卡普利兽,剑道兽,等级≥ 4 机械经验≥ 300 胜率≥ 45%,成长期进化路线 
剑道兽,龙人兽,等级≥ 15 巨龙经验≥ 300,成长期进化路线 
小火焰兽,火波兽,等级≥ 12 巨龙经验≥ 510 胜率≥ 80%,成长期进化路线 
火波兽,巨龙兽,等级≥ 16 友情≥ 3♥,成长期进化路线 
迪哥兽,高吼兽,等级≥ 10 巨龙经验≥ 190 胜率≥ 90%,成长期进化路线 
高吼兽,高吼兽（王）,等级≥ 20 巨龙经验≥ 520 胜率≥ 95%,成长期进化路线 
明星兽（合体战争）,明星兽,等级≥ 16,成长期进化路线 
拨片兽,明星兽S,& 1只明星兽（合体战争）+1只拨片兽 合体进化：1个数码组合芯片 等级≥ 8 友情≥ 4♥,成长期进化路线 
明星兽S,流星兽,等级≥ 16 友情≥ 4♥,成长期进化路线 
皮那兽,麻雀兽,等级≥ 8 鸟类经验≥ 150 机械经验≥ 350,成长期进化路线 
麻雀兽,铠甲鸟龙兽,等级≥ 16 鸟类经验≥ 320 机械经验≥ 750,成长期进化路线 
小火焰兽,刺针兽,等级≥ 6 机械经验≥ 600,成长期进化路线 
刺针兽,兵卒兽,等级≥ 15 机械经验≥ 1000,成长期进化路线 
喵喵兽,汀克兽,等级≥ 8 昆虫经验≥ 150,成长期进化路线 
汀克兽,仙女兽,等级≥ 30 完成挑战模式：第一边疆 昆虫经验≥ 2600,成长期进化路线 
汪喵兽,乌龟兽,等级≥ 7 水生经验≥ 200 机械经验≥ 50,成长期进化路线 
乌龟兽,龙人兽,等级≥ 15 巨龙经验≥ 300,成长期进化路线 
最初的数码蛋,乌科兽,创始村数码蛋概率获得,成长期进化路线 
乌科兽,大乌科兽,数码兽图鉴数≥ 400 击杀数≥ 15000 等级≥ 90 8个进化器,成长期进化路线 
汪喵兽,闪蝶兽,等级≥ 10 昆虫经验≥ 550 拥有过闪蝶兽,成长期进化路线 
闪蝶兽,厄俄斯兽,等级≥ 15 机械经验≥ 710 昆虫经验≥ 325,成长期进化路线 
软糖兽,碧龙兽,等级≥ 8 水生经验≥200 拥有碧龙兽,成长期进化路线 
碧龙兽,苍龙兽,等级≥ 15 水生经验≥ 650 胜率≥ 40%,成长期进化路线 
迪哥兽,小毒蜘蛛兽,等级≥ 5 昆虫经验≥ 35 远攻训练值≥ 40,成长期进化路线 
小毒蜘蛛兽,黄蜂兽,等级≥ 15 昆虫经验≥ 120,成长期进化路线 
伽马兽,参宿四伽马兽,等级≥ 16 友情≥ 3♥ 巨龙经验≥ 700,成长期进化路线 
蜡烛兽,火焰兽,等级≥ 15 友情≥ 2.5♥ 机械经验≥ 250,成长期进化路线 
雏鸡兽,无赖兽,等级≥ 15 友情≥ 3♥ 鸟类经验≥ 1200 近攻训练值≥ 150,成长期进化路线 
卡普利兽,突击龙兽,等级≥ 9 拥有过突击龙兽 机械经验≥ 550,成长期进化路线 
突击龙兽,高等突击龙兽,等级≥ 16 胜率≥ 50% 机械经验≥ 325,成长期进化路线 
刺猬兽,针毛兽,等级≥ 15 野兽经验≥ 1000 友情≥ 3♥,成长期进化路线 
圣诞雪球兽,圣诞雪人兽,等级≥ 50 友情≥ 4♥ 水生经验≥ 5900,成长期进化路线 
巨龙兽,大师巨龙兽,等级≥ 45 巨龙经验≥ 3250 胜率≥ 95%,成熟期进化路线
亚古兽,暴龙兽,等级≥ 18 友情≥ 4♥ 巨龙经验≥ 675 胜率≥ 60%,成熟期进化路线
暴龙兽,机械暴龙兽,等级≥ 45 友情≥ 4♥ 巨龙经验≥ 6750,成熟期进化路线
亚古兽,暴龙兽（蓝）,等级≥ 18 携带黑数码核心数据 黑暗经验≥ 715,成熟期进化路线
暴龙兽（蓝）,机械暴龙兽（病毒）,等级≥ 45 巨龙经验≥ 4500 机械经验≥ 3185,成熟期进化路线
亚古兽,大地暴龙兽,等级≥ 20 友情≥ 4♥ 巨龙经验≥ 710 胜率≥ 80%,成熟期进化路线
大地暴龙兽,跃升暴龙兽,等级≥ 45 机械经验≥ 3150 巨龙经验≥ 4960,成熟期进化路线
亚古兽（黑）,暴龙兽（合体战争）,等级≥ 25 友情≥ 2♥ & 友情≤ 3♥ 巨龙经验≥ 2010 胜率≥ 80%,成熟期进化路线
暴龙兽（合体战争）,三角龙兽,等级≥ 45 巨龙经验≥ 5000,成熟期进化路线
加奥兽,加鲁鲁兽,等级≥ 16 野兽经验≥ 355,成熟期进化路线
加鲁鲁兽,兽人加鲁鲁,等级≥ 45 野兽经验≥ 5000,成熟期进化路线
加鲁鲁兽（黑）,兽人加鲁鲁（黑）,等级≥ 45 野兽经验≥ 5200,成熟期进化路线
哥布林兽,加奥加兽,等级≥ 16 野兽经验≥ 535,成熟期进化路线
加奥加兽,音速加奥加兽,等级≥ 45 野兽经验≥ 5100 胜率≥ 50%,成熟期进化路线
角龙兽,朱红兽,等级≥ 55,成熟期进化路线
亚古兽,火焰兽,等级≥ 19 友情≥ 2.5♥ 巨龙经验≥ 15 机械经验≥ 510,成熟期进化路线
火焰兽,蓝色火焰兽,等级≥ 45 友情≤ 2.5♥ 胜率≥ 45%,成熟期进化路线
明星兽,超级明星兽,等级≥ 45 胜率≥ 50%,成熟期进化路线
明星兽（合体战争）,流星兽,等级≥ 18 友情≥ 4♥ 机械经验≥ 500 拥有过明星兽S,成熟期进化路线
流星兽,超级明星兽,等级≥ 45 胜率≥ 50%,成熟期进化路线
积木亚古兽,守卫机器人兽,等级≥ 16 机械经验≥ 500 近防训练≥ 110,成熟期进化路线
守卫机器人兽,百万龙兽,等级≥ 45 巨龙经验≥ 4500 黑暗经验≥ 404,成熟期进化路线
幻蜂兽,守卫机器人兽（金）,等级≥ 25 机械经验≥ 1890 防御训练值≥ 450,成熟期进化路线
守卫机器人兽（金）,纳米兽,等级≥ 45 机械经验≥ 6790,成熟期进化路线
加支兽,什么兽,等级≥ 15 胜率≤ 30%,成熟期进化路线
什么兽,猿猴兽,等级≥ 45 野兽经验≥ 5000,成熟期进化路线
亚古兽,大便兽,等级≥ 15 胜率≤ 30%,成熟期进化路线
大便兽,猿猴兽,等级≥ 45 野兽经验≥ 5000,成熟期进化路线
加支兽,鼻涕兽,等级≥ 15 胜率≤ 30%,成熟期进化路线
鼻涕兽,熊仔兽,等级≥ 45 野兽经验≥ 6800 友情≥ 4.5♥,成熟期进化路线
电力兽,卑劣兽,等级≥ 15 胜率≤ 30%,成熟期进化路线
卑劣兽,猿猴兽,等级≥ 45 野兽经验≥ 6500,成熟期进化路线
V仔兽,V仔兽EX,等级≥ 20 友情≥ 4.5♥ 巨龙经验≥ 500 胜率≥ 75%,成熟期进化路线
V仔兽EX,天翔V龙兽,等级≥ 45 巨龙经验≥ 5600 胜率≥ 99%,成熟期进化路线
哥布林兽,刺钉兽,等级≥ 25 昆虫经验≥ 855 胜率≥ 55%,成熟期进化路线
刺钉兽,大锹形虫兽,等级≥ 45 昆虫经验≥ 5230,成熟期进化路线
V龙兽,天翔V龙兽,等级≥ 45 巨龙经验≥ 5600 胜率≥ 99%,成熟期进化路线
电力兽,红色V龙兽,等级≥ 20 友情≤ 2.5♥ 胜率≥ 90%,成熟期进化路线
红色V龙兽,天翔V龙兽,等级≥ 45 巨龙经验≥ 5600 胜率≥ 99%,成熟期进化路线
V仔兽,V龙兽（黑）,等级≥ 22 携带黑数码核心数据 黑暗经验≥ 715,成熟期进化路线
V龙兽（黑）,大蛇兽,等级≥ 45 巨龙经验≥ 5800 胜率≥ 60%,成熟期进化路线
红色V龙兽,大师V龙兽,& 黄金V龙兽 合体进化：1个数码合体芯片 等级≥ 90 巨龙经验≥ 73000,成熟期进化路线
V仔兽,飞龙兽,等级≥ 16 巨龙经验≥ 565 神圣经验≥ 800 鸟类经验≥ 50,成熟期进化路线
飞龙兽,百万龙兽,等级≥ 45 巨龙经验≥ 4500 黑暗经验≥ 404,成熟期进化路线
雪人亚古兽,海龙兽,等级≥ 17 水生经验≥ 690,成熟期进化路线
海龙兽,百万海龙兽,等级≥ 45 水生经验≥ 5200,成熟期进化路线
雪人兽,祖顿兽,等级≥ 45 水生经验≥ 5160,成熟期进化路线
雪人亚古兽,鬼怪兽,等级≥ 15 胜率≤ 30%,成熟期进化路线
鬼怪兽,幻影兽,等级≥ 45 黑暗经验≥ 5000 友情≤ .5♥,成熟期进化路线
加奥兽,鬼魂兽,等级≥ 15 黑暗经验≥ 250 胜率≥ 30%,成熟期进化路线
鬼魂兽,幻影兽,等级≥ 45 黑暗经验≥ 5000 友情≤ .5♥,成熟期进化路线
天使兽,神圣天使兽,等级≥ 45 神圣经验≥ 5500 黑暗经验≤ 100 友情≥ 3♥,成熟期进化路线
巴达兽,比特兽,等级≥ 17 友情≥ 4.5♥ 神圣经验≥ 1100,成熟期进化路线
比特兽,神圣天使兽,等级≥ 45 神圣经验≥ 5500 黑暗经验≤ 100 友情≥ 3♥,成熟期进化路线
