name,stage,type,element,attribute
拉拉兽,成长期,植物,木,数据Da
强化植物数码蛋,数码蛋,,,
五彩兽,成长期,鸟类,火,数据Da
巴鲁兽,成长期,植物,木,数据Da
佛洛拉兽,成长期,植物,木,数据Da
哈哈兽,成长期,黑暗,暗,未知Un
德拉库兽,成长期,黑暗,暗,病毒Vi
玩具亚古兽（黑）,成长期,机械,自由,病毒Vi
碧龙兽,成长期,巨龙,冰,数据Da
萨满兽,成长期,野兽,暗,病毒Vi
剑道兽,成长期,机械,火,数据Da
突击龙兽,成长期,巨龙,钢,病毒Vi
明星兽（合体战争）,成长期,机械,自由,数据Da
明星兽S,成长期,机械,自由,数据Da
伽马兽,成长期,巨龙,光,病毒Vi
叽叽兽数码蛋,幼年期I,,,
叽叽兽,幼年期II,,,
雏鸡兽,成长期,鸟类,风,疫苗Va
点阵猎鹰兽,成长期,鸟类,自由,疫苗Va
刺猬兽,成长期,野兽,土,数据Da
巨龙兽,成熟期,巨龙,火,数据Da
暴龙兽,成熟期,巨龙,火,疫苗Va
暴龙兽（蓝）,成熟期,巨龙,火,病毒Vi
大地暴龙兽,成熟期,巨龙,火,疫苗Va
大便兽,成熟期,机械,土,病毒Vi
角龙兽,成熟期,巨龙,土,数据Da
暴龙兽（合体战争）,成熟期,巨龙,火,病毒Vi
古拉兽,成熟期,巨龙,火,病毒Vi
铁钩兽,成熟期,水生,自由,病毒Vi
风灾兽,成熟期,野兽,暗,病毒Vi
雪人兽,成熟期,水生,冰,疫苗Va
海龙兽,成熟期,水生,冰,数据Da
冰恶魔兽,成熟期,黑暗,冰,病毒Vi
苍龙兽,成熟期,巨龙,冰,数据Da
甲板龙兽,成熟期,巨龙,钢,病毒Vi
鬼怪兽,成熟期,黑暗,暗,病毒Vi
V仔兽EX,成熟期,巨龙,自由,未知Un
加鲁鲁兽,成熟期,野兽,冰,疫苗Va
加鲁鲁兽（黑）,成熟期,野兽,冰,病毒Vi
钻头鼹鼠兽,成熟期,野兽,土,数据Da
伪钻头鼹鼠兽,成熟期,野兽,土,疫苗Va
狮子兽,成熟期,野兽,火,疫苗Va
天使兽,成熟期,神圣,光,疫苗Va
比多兽,成熟期,昆虫,雷,疫苗Va
鼻涕兽,成熟期,水生,土,病毒Vi
杜宾犬兽,成熟期,野兽,暗,疫苗Va
獠牙兽,成熟期,野兽,自由,数据Da
裂破兽,成熟期,神圣,光,疫苗Va
兔儿爷兽,成熟期,野兽,暗,数据Da
三毛猫兽,成熟期,野兽,土,数据Da
刃龙兽,成熟期,鸟类,暗,疫苗Va
狙击兽,成熟期,昆虫,木,疫苗Va
九尾兽,成熟期,野兽,火,数据Da
加鲁哥兽,成熟期,野兽,自由,疫苗Va
魔像兽PS,成熟期,机械,土,病毒Vi
比特兽,成熟期,神圣,光,疫苗Va
巫师兽,成熟期,黑暗,暗,数据Da
明星兽,成熟期,机械,钢,数据Da
战甲兽,成熟期,巨龙,钢,未知Un
蛇鸡兽,成熟期,鸟类,土,数据Da
冠恐鸟兽,成熟期,鸟类,土,疫苗Va
天马兽,装甲体,神圣,光,未知Un
巴达麻雀兽,无等级,神圣,钢,未知Un
恶魔兽,成熟期,黑暗,暗,病毒Vi
女巫兽,成熟期,黑暗,风,数据Da
迪路兽,成熟期,神圣,光,疫苗Va
黑迪路兽,成熟期,野兽,暗,病毒Vi
V龙兽,成熟期,巨龙,风,疫苗Va
刃王哈克兽,成熟期,巨龙,钢,数据Da
纳芙蒂兽,装甲体,神圣,光,未知Un
天鹰兽,成熟期,鸟类,风,未知Un
海狮兽,成熟期,水生,冰,疫苗Va
奥加兽,成熟期,黑暗,土,病毒Vi
傻狗兽,成熟期,野兽,土,数据Da
疾速兽（黄金）,装甲体,野兽,光,疫苗Va
温迪兽,成熟期,黑暗,暗,病毒Vi
黑加鲁哥兽,成熟期,野兽,土,疫苗Va
彼得兽,成熟期,神圣,自由,数据Da
不行兽,成熟期,机械,自由,病毒Vi
光明兽：堕落形态,完全体,黑暗,自由,病毒Vi
虫蛹兽,成熟期,黑暗,暗,未知Un
疯狂狮子兽,成熟期,野兽,暗,病毒Vi
哈努兽,成熟期,野兽,火,疫苗Va
德尔塔兽,成熟期,巨龙,暗,疫苗Va
什么兽,成熟期,机械,土,病毒Vi
幽暗兽,成熟期,黑暗,暗,病毒Vi
加奥加兽,成熟期,野兽,风,数据Da
鬼魂兽,成熟期,黑暗,暗,病毒Vi
蟑螂兽,成熟期,昆虫,土,病毒Vi
武士兽,成熟期,黑暗,暗,病毒Vi
黑古拉兽,成熟期,巨龙,暗,病毒Vi
飞龙兽,成熟期,巨龙,光,疫苗Va
核龙兽（蓝）,成熟期,巨龙,风,疫苗Va
核龙兽（绿）,成熟期,巨龙,土,病毒Vi
守卫机器人兽,成熟期,机械,钢,病毒Vi
古拉兽（橙）,成熟期,巨龙,火,数据Da
守卫机器人兽（金）,成熟期,机械,钢,未知Un
冰河兽,成熟期,野兽,冰,病毒Vi
铠甲鸟龙兽,成熟期,鸟类,钢,数据Da
大象兽,装甲体,野兽,钢,未知Un
音速兽,成熟期,机械,风,疫苗Va
刺钉兽,成熟期,昆虫,木,未知Un
牛人兽,成熟期,野兽,土,病毒Vi
锹形虫兽,成熟期,昆虫,木,病毒Vi
野菜兽,成熟期,植物,土,病毒Vi
冰石兽,成熟期,机械,冰,数据Da
虾龙兽,成熟期,水生,钢,数据Da
朋克兽,成熟期,巨龙,暗,病毒Vi
兵卒兽,成熟期,机械,暗,数据Da
多路加兽,成熟期,野兽,钢,数据Da
胡蜂兽,成熟期,昆虫,雷,病毒Vi
银龙兽,成熟期,巨龙,自由,疫苗Va
啄木鸟兽,成熟期,鸟类,风,疫苗Va
阿耆尼兽,成熟期,巨龙,火,未知Un
强袭龙兽,成熟期,巨龙,火,疫苗Va
野狼兽,成熟期,野兽,光,未知Un
猎鹰兽（原种）,成长期,,,
埃癸奥兽,成熟期,野兽,雷,疫苗Va
红色V龙兽,成熟期,巨龙,火,病毒Vi
卑劣兽,成熟期,水生,雷,病毒Vi
巴多拉兽,成熟期,鸟类,火,疫苗Va
仙人掌兽,成熟期,植物,木,数据Da
龙人兽,成熟期,巨龙,自由,数据Da
厄俄斯兽,成熟期,机械,雷,未知Un
墨鱼兽,成熟期,水生,水,病毒Vi
冰熊兽,成熟期,野兽,冰,未知Un
闪电龙兽,装甲体,巨龙,雷,未知Un
V龙兽（黑）,成熟期,巨龙,风,病毒Vi
烈焰龙兽,装甲体,巨龙,火,未知Un
玛格纳兽,装甲体,神圣,钢,未知Un
黄金V龙兽,装甲体,巨龙,光,疫苗Va
沙地蜻蜓兽,成熟期,昆虫,土,数据Da
爱精灵兽,装甲体,野兽,光,未知Un
爱精灵兽（绿）,装甲体,野兽,光,未知Un
挖掘兽,装甲体,昆虫,土,未知Un
潜艇兽,装甲体,水生,钢,未知Un
绵羊兽,装甲体,野兽,自由,未知Un
荷鲁斯兽,装甲体,鸟类,风,未知Un
手里剑兽,装甲体,植物,风,未知Un
大嘴鸟兽,装甲体,鸟类,风,未知Un
异特龙兽,装甲体,巨龙,火,未知Un
怪蛙兽,成熟期,水生,水,病毒Vi
拉娜兽,成熟期,水生,水,未知Un
黑基尔兽,成长期,巨龙,暗,病毒Vi
弩炮兽,成熟期,机械,钢,疫苗Va
电光兽,成熟期,昆虫,雷,未知Un
黄蜂兽,成熟期,昆虫,风,病毒Vi
枯木兽,成熟期,植物,木,病毒Vi
向日葵兽,成熟期,植物,光,数据Da
蜻蜓兽,成熟期,昆虫,雷,数据Da
高吼兽（王）,成熟期,巨龙,火,数据Da
奥米加高吼兽,完全体,神圣,钢,数据Da
高吼兽X2,成熟期,机械,火,数据Da
流星兽,成熟期,机械,光,数据Da
疯狂狮子兽：武装形态,成熟期,野兽,钢,病毒Vi
仙女兽,成熟期,昆虫,风,未知Un
最初的数码蛋,幼年期II,,,
乌科兽,成长期,,,
大乌科兽,究极体,无,自由,未知Un
参宿四伽马兽,成熟期,巨龙,火,疫苗Va
弧矢一伽马兽,成熟期,巨龙,雷,数据Da
箕宿三伽马兽,成熟期,巨龙,风,数据Da
轩辕十四伽马兽,成熟期,巨龙,暗,病毒Vi
无赖兽,成熟期,鸟类,风,疫苗Va
高等突击龙兽,成熟期,巨龙,钢,病毒Vi
海豹龙兽,成熟期,机械,钢,病毒Vi
针毛兽,成熟期,野兽,土,数据Da
圣诞亚古兽,成长期,,,
圣诞雪球兽,成长期,,,
圣诞雪人兽,完全体,无,冰,病毒Vi
大师巨龙兽,完全体,巨龙,火,疫苗Va
金属巨龙兽,完全体,机械,雷,病毒Vi
朱红兽,完全体,巨龙,土,数据Da
腕龙兽,完全体,水生,自由,数据Da
EX巨龙兽,完全体,机械,自由,疫苗Va
机械暴龙兽,完全体,巨龙,火,疫苗Va
骷髅暴龙兽,完全体,黑暗,暗,病毒Vi
大古拉兽,完全体,巨龙,火,病毒Vi
天翔V龙兽,完全体,巨龙,风,疫苗Va
机械暴龙兽（病毒）,完全体,巨龙,火,病毒Vi
大古拉兽（橙）,完全体,巨龙,雷,数据Da
跃升暴龙兽,完全体,巨龙,火,疫苗Va
翔龙兽,完全体,巨龙,风,疫苗Va
三角龙兽,完全体,巨龙,土,数据Da
多路暴龙兽,完全体,野兽,钢,数据Da
机械暴龙兽（合体战争）,完全体,巨龙,火,病毒Vi
兽人加鲁鲁,完全体,野兽,自由,疫苗Va
兽人加鲁鲁（黑）,完全体,野兽,暗,病毒Vi
音速加奥加兽,完全体,野兽,风,数据Da
白狮兽,完全体,野兽,冰,疫苗Va
熊猫兽,完全体,野兽,自由,数据Da
恶霸熊仔兽,完全体,野兽,暗,病毒Vi
恶海龙兽,完全体,水生,冰,病毒Vi
黑疾速兽,完全体,机械,雷,疫苗Va
蓝色火焰兽,完全体,机械,冰,病毒Vi
猿猴兽,完全体,野兽,暗,病毒Vi
拉比兽,完全体,野兽,钢,疫苗Va
百万龙兽,完全体,巨龙,风,病毒Vi
阿修罗兽,完全体,神圣,火,疫苗Va
地龙兽,完全体,巨龙,土,病毒Vi
豆豆兽,完全体,机械,钢,数据Da
迦楼罗兽,完全体,鸟类,火,疫苗Va
黑暗巨星兽,完全体,黑暗,钢,病毒Vi
吸血魔兽,完全体,黑暗,暗,病毒Vi
超级明星兽,完全体,机械,钢,数据Da
数码蛋兽,完全体,黑暗,自由,数据Da
陨石兽,完全体,机械,土,数据Da
装载狮子兽,完全体,野兽,钢,疫苗Va
纳米兽,完全体,机械,雷,病毒Vi
熊仔兽,完全体,野兽,自由,疫苗Va
白金鼻涕兽,究极体,神圣,水,病毒Vi
巨鲸兽,完全体,水生,水,疫苗Va
幻影兽,完全体,黑暗,暗,病毒Vi
神圣天使兽,完全体,神圣,光,疫苗Va
机甲龙兽,完全体,巨龙,自由,未知Un
大锹形虫兽,完全体,昆虫,木,病毒Vi
超比多兽（蓝）,完全体,昆虫,雷,数据Da
骷髅撒旦兽,完全体,黑暗,雷,病毒Vi
地狱使者兽,完全体,黑暗,暗,未知Un
电子龙兽,完全体,巨龙,暗,疫苗Va
超比多兽（红）,完全体,昆虫,雷,疫苗Va
大师V龙兽,成熟期,巨龙,自由,疫苗Va
大蛇兽,完全体,巨龙,水,病毒Vi
百万海龙兽,完全体,水生,水,数据Da
奇虾兽,完全体,水生,水,数据Da
飞车龙兽,完全体,巨龙,自由,疫苗Va
祖顿兽,完全体,水生,雷,疫苗Va
天女兽,完全体,神圣,光,疫苗Va
胧魂兽,完全体,黑暗,火,病毒Vi
南瓜兽,完全体,黑暗,自由,数据Da
女恶魔兽,完全体,黑暗,暗,病毒Vi
骏鹰兽,完全体,鸟类,火,数据Da
祭师兽,完全体,野兽,暗,数据Da
救世主哈克兽,完全体,巨龙,钢,数据Da
新种恶魔兽,完全体,黑暗,暗,病毒Vi
土偶兽,完全体,神圣,光,未知Un
祖利兽,完全体,植物,木,病毒Vi
华丽兽,完全体,鸟类,木,数据Da
花仙兽,完全体,植物,木,数据Da
丁香兽,完全体,植物,风,数据Da
冒充兽,完全体,野兽,自由,数据Da
人面战鹰兽,完全体,鸟类,风,未知Un
安底罗兽（神将）,完全体,野兽,光,数据Da
贤者兽,完全体,黑暗,暗,病毒Vi
恶鬼梅尔瓦兽,无等级,黑暗,土,未知Un
黑大古拉兽,完全体,巨龙,暗,病毒Vi
冰晶苍龙兽,完全体,巨龙,冰,数据Da
铁钩船长兽,完全体,水生,自由,疫苗Va
鹦鹉兽,完全体,鸟类,雷,疫苗Va
八咫乌兽,完全体,鸟类,暗,疫苗Va
安底罗兽,完全体,野兽,暗,病毒Vi
剑狮兽,究极体,野兽,自由,数据Da
疯狂狮子兽：大蛇形态,无等级,野兽,土,未知Un
疯狂狮子兽：最终形态,无等级,野兽,自由,未知Un
死X多路加兽,成熟期,,,
炮蜂兽,完全体,昆虫,雷,病毒Vi
人鱼兽,完全体,水生,钢,数据Da
老爷怪蛙兽,完全体,水生,水,病毒Vi
躁响兽,完全体,巨龙,雷,病毒Vi
布利陀罗兽,完全体,巨龙,火,未知Un
阿尔达兽,完全体,巨龙,火,未知Un
加鲁姆兽,完全体,野兽,光,未知Un
舒兹兽,完全体,鸟类,风,未知Un
巴萨兽,完全体,野兽,冰,未知Un
雷光兽,完全体,昆虫,雷,未知Un
长蘑菇的音速狮子兽,无等级,野兽,木,未知Un
埃癸奥都斯兽,完全体,巨龙,雷,疫苗Va
巨型破坏不行兽,无等级,机械,自由,未知Un
金属高吼兽,无等级,巨龙,雷,未知Un
卡诺维斯兽,完全体,巨龙,火,疫苗Va
轩辕十四兽,完全体,巨龙,暗,病毒Vi
武天兽,完全体,鸟类,光,疫苗Va
巨硬针毛兽,完全体,野兽,土,数据Da
战斗暴龙兽,究极体,巨龙,火,疫苗Va
无限龙兽,究极体,机械,钢,病毒Vi
胜利暴龙兽,究极体,巨龙,火,疫苗Va
红莲骑士兽,究极体,神圣,光,病毒Vi
红锈巨龙兽,究极体,机械,钢,病毒Vi
黑战斗暴龙兽,究极体,巨龙,火,病毒Vi
电光暴龙兽,究极体,巨龙,雷,病毒Vi
铠皇兽,究极体,巨龙,自由,病毒Vi
闪光暴龙兽,究极体,巨龙,光,疫苗Va
斩龙兽,究极体,巨龙,风,疫苗Va
棘龙兽,究极体,巨龙,土,病毒Vi
颅骨兽,究极体,机械,钢,疫苗Va
泰坦兽,究极体,黑暗,土,病毒Vi
策士兽,究极体,黑暗,自由,数据Da
戴拿兽,究极体,巨龙,火,疫苗Va
恐龙王兽,究极体,巨龙,土,数据Da
正义兽,究极体,机械,光,疫苗Va
海天使兽,究极体,神圣,水,疫苗Va
暗龙兽,究极体,机械,暗,病毒Vi
金属海龙兽,究极体,水生,水,数据Da
尼普顿兽,究极体,水生,水,疫苗Va
利维亚兽,究极体,黑暗,水,病毒Vi
千兆海龙兽,究极体,水生,钢,数据Da
水神兽,究极体,机械,水,数据Da
魔神兽,究极体,黑暗,暗,病毒Vi
河豚兽,究极体,水生,钢,病毒Vi
偃月加鲁鲁兽,究极体,野兽,冰,数据Da
金属猿猴兽,究极体,野兽,钢,病毒Vi
蛇颈龙兽,究极体,巨龙,水,数据Da
维京兽,究极体,野兽,冰,未知Un
螺栓兽,究极体,机械,雷,数据Da
炮龙兽,究极体,巨龙,钢,数据Da
破坏龙兽,究极体,巨龙,钢,病毒Vi
圣加鲁哥兽,究极体,野兽,钢,疫苗Va
帝皇龙兽：龙形态（黑）,究极体,巨龙,火,病毒Vi
炽天使兽,究极体,神圣,光,疫苗Va
主天使兽,究极体,神圣,光,疫苗Va
领主骑士兽,究极体,神圣,钢,病毒Vi
智天使兽（善）,究极体,神圣,光,疫苗Va
杰斯兽,究极体,神圣,钢,数据Da
凤凰兽,究极体,鸟类,火,疫苗Va
座天使兽,究极体,神圣,光,疫苗Va
维纳斯兽,究极体,神圣,光,疫苗Va
座天使兽：堕落形态,超究极,神圣,暗,疫苗Va
蔷薇兽,究极体,植物,木,数据Da
瓦尔基里兽,究极体,鸟类,冰,未知Un
莫斯提兽,究极体,黑暗,光,疫苗Va
莉莉丝兽,究极体,黑暗,暗,病毒Vi
贝尔斯塔兽,究极体,黑暗,暗,病毒Vi
密涅瓦兽,究极体,神圣,自由,病毒Vi
莲花兽,究极体,植物,木,数据Da
葛叶兽,究极体,神圣,暗,数据Da
小丑兽,究极体,黑暗,暗,病毒Vi
迪亚波罗兽,究极体,黑暗,暗,未知Un
怨毒吸血魔兽,究极体,黑暗,暗,病毒Vi
智天使兽（恶）,究极体,黑暗,暗,疫苗Va
高贵南瓜兽,究极体,黑暗,土,数据Da
别西卜兽,究极体,黑暗,暗,病毒Vi
狱门兽,究极体,机械,暗,病毒Vi
木偶兽,究极体,黑暗,木,病毒Vi
究极古加兽,究极体,昆虫,暗,未知Un
祖利兽（圣诞树）,究极体,植物,冰,病毒Vi
恶魔蛋兽,究极体,黑暗,自由,数据Da
贝尔菲兽：沉睡形态,究极体,黑暗,暗,病毒Vi
普路托兽,究极体,黑暗,暗,病毒Vi
混沌骑士兽,究极体,神圣,暗,病毒Vi
重金属龙兽,究极体,巨龙,暗,病毒Vi
幻影加奥加兽,究极体,野兽,风,数据Da
阿尔法兽,究极体,神圣,自由,疫苗Va
风神兽,究极体,机械,风,疫苗Va
海德拉兽,究极体,植物,土,病毒Vi
渡鸦兽,究极体,鸟类,风,疫苗Va
瓦尔德兽,究极体,鸟类,光,疫苗Va
究极V龙兽,究极体,巨龙,光,疫苗Va
杜纳斯兽,究极体,巨龙,风,数据Da
死X多路暴龙兽,完全体,,,
王龙兽,究极体,巨龙,自由,疫苗Va
斩伐兽,究极体,黑暗,暗,病毒Vi
钢铁加鲁鲁兽,究极体,野兽,冰,数据Da
钢铁加鲁鲁兽（黑）,究极体,野兽,冰,病毒Vi
终弩加鲁鲁兽,究极体,野兽,钢,数据Da
芳香兽,究极体,野兽,光,数据Da
阿努比兽,究极体,野兽,光,疫苗Va
咲耶兽,究极体,神圣,光,数据Da
黑圣加鲁哥兽,究极体,机械,雷,疫苗Va
雷神兽,究极体,机械,雷,病毒Vi
番长百合兽,究极体,植物,木,数据Da
花开领主兽,究极体,植物,光,疫苗Va
异次元兽,究极体,黑暗,无,病毒Vi
力神比多兽,究极体,昆虫,雷,疫苗Va
虎蜂兽,究极体,昆虫,风,病毒Vi
重装狮子兽,究极体,野兽,钢,疫苗Va
噩梦熊仔兽,究极体,野兽,暗,疫苗Va
光明兽：撒旦形态,超究极,黑暗,暗,病毒Vi
帝皇龙兽：龙形态,究极体,巨龙,火,未知Un
玛尔斯兽,究极体,野兽,火,疫苗Va
女王蜂兽,究极体,昆虫,钢,病毒Vi
奥米加冒充兽,无等级,野兽,钢,未知Un
凯撒暴龙兽,究极体,巨龙,火,未知Un
古代加鲁鲁兽,究极体,野兽,光,数据Da
古代彩虹兽,究极体,鸟类,风,疫苗Va
但丁恶魔兽,究极体,黑暗,暗,病毒Vi
朱庇特兽,究极体,神圣,雷,疫苗Va
魔导碧晶兽,究极体,神圣,冰,数据Da
尼德霍格兽,究极体,巨龙,火,病毒Vi
天狼星兽,究极体,巨龙,光,疫苗Va
大角星兽,究极体,巨龙,暗,病毒Vi
柯罗诺兽：神圣形态,超究极,鸟类,光,疫苗Va
柯罗诺兽：毁灭形态,超究极,巨龙,暗,病毒Vi
螺旋兽,究极体,野兽,土,数据Da
螺旋兽：激昂形态,究极体,野兽,暗,数据Da
奥米加兽,超究极,神圣,光,疫苗Va
奥米加兽兹瓦特,超究极,神圣,暗,疫苗Va
闪光暴龙兽：爆裂形态,超究极,巨龙,火,疫苗Va
闪光暴龙兽：毁灭形态,超究极,巨龙,暗,疫苗Va
奥米加兽 Alter-S,超究极,神圣,光,病毒Vi
混沌龙兽,超究极,机械,钢,病毒Vi
阿尔法兽：王龙剑,超究极,神圣,自由,疫苗Va
蔷薇兽：爆裂形态,超究极,植物,木,数据Da
大王花兽,究极体,植物,光,数据Da
艾可萨兽,超究极,巨龙,光,数据Da
贝利亚吸血魔兽,究极体,黑暗,暗,病毒Vi
咲耶兽：巫女模式,超究极,神圣,光,数据Da
葛叶兽：巫女模式,超究极,神圣,暗,数据Da
别西卜兽：疾风形态,超究极,黑暗,暗,病毒Vi
梅尔瓦兽,超究极,神圣,土,病毒Vi
幻影加奥加兽：爆裂形态,超究极,野兽,光,数据Da
渡鸦兽：爆裂形态,超究极,鸟类,风,疫苗Va
芳香兽：豹式形态,究极体,野兽,土,数据Da
贝尔菲兽：愤怒形态,超究极,黑暗,暗,病毒Vi
灭世魔兽,超究极,黑暗,暗,未知Un
恐虎兽,超究极,野兽,钢,数据Da
轩辕兽,究极体,,,
帝皇龙兽：战士形态,超究极,巨龙,自由,未知Un
雷电兽,超究极,机械,雷,病毒Vi
铠皇兽：严刀之型,究极体,巨龙,风,病毒Vi
混沌战斗暴龙兽,究极体,,,
混沌海龙兽,究极体,,,
混沌小丑兽,究极体,,,
混沌领主,究极体,,,
巨大南瓜兽,究极体,,,
帝皇龙兽：圣骑士形态,超究极,神圣,光,疫苗Va
奥米加兽兹瓦特战损,超究极,神圣,暗,病毒Vi
琉璃兽,无等级,,,
音速狮子兽,无等级,,,
大雪人兽,无等级,,,
巨型破坏龙兽（紫）,,,,
